Date,Open,High,Low,Close,Volume,Adj Close
2023-08-02,6.174,6.299,5.87,5.968,59846.18,5.968
2023-08-03,5.972,6.066,5.9,5.98,31914.7,5.98
2023-08-04,5.97,6.019,5.804,5.93,27225.7,5.93
2023-08-05,5.935,5.962,5.886,5.909,14828.16,5.909
2023-08-06,5.908,5.962,5.88,5.916,19634.35,5.916
2023-08-07,5.916,5.977,5.763,5.951,32072.52,5.951
2023-08-08,5.954,6.36,5.889,6.182,57232.24,6.182
2023-08-09,6.175,6.317,6.046,6.114,31537.04,6.114
2023-08-10,6.114,6.169,6.004,6.052,30665.32,6.052
2023-08-11,6.059,6.096,5.983,6.039,17334.79,6.039
2023-08-12,6.04,6.059,6.015,6.036,8247.48,6.036
2023-08-13,6.04,6.069,5.976,5.988,13466.35,5.988
2023-08-14,5.988,6.13,5.908,6.007,35906.0,6.007
2023-08-15,6.014,6.036,5.896,5.93,24716.32,5.93
2023-08-16,5.926,5.964,5.744,5.744,40901.5,5.744
2023-08-17,5.744,5.77,4.167,4.9,174346.78,4.9
2023-08-18,4.9,4.966,4.528,4.666,130045.03,4.666
2023-08-19,4.672,4.75,4.558,4.689,64950.56,4.689
2023-08-20,4.689,4.75,4.649,4.715,36709.11,4.715
2023-08-21,4.723,4.73,4.571,4.69,49086.75,4.69
2023-08-22,4.692,4.692,4.405,4.67,62721.26,4.67
2023-08-23,4.671,4.942,4.585,4.795,70196.54,4.795
2023-08-24,4.799,4.861,4.6,4.703,42004.96,4.703
2023-08-25,4.705,4.748,4.58,4.659,29691.2,4.659
2023-08-26,4.659,4.68,4.635,4.64,11891.61,4.64
2023-08-27,4.639,4.716,4.632,4.68,17686.7,4.68
2023-08-28,4.682,4.733,4.604,4.687,33623.42,4.687
2023-08-29,4.688,5.42,4.602,5.278,144008.86,5.278
2023-08-30,5.278,5.29,5.005,5.123,52155.35,5.123
2023-08-31,5.109,5.228,4.5,4.609,99980.05,4.609
2023-09-01,4.611,4.692,4.378,4.541,93215.75,4.541
2023-09-02,4.541,4.621,4.517,4.568,26912.1,4.568
2023-09-03,4.568,4.66,4.548,4.6,26819.55,4.6
2023-09-04,4.6,4.643,4.482,4.551,29167.51,4.551
2023-09-05,4.553,4.57,4.454,4.537,30937.26,4.537
2023-09-06,4.539,4.615,4.39,4.529,42877.0,4.529
2023-09-07,4.517,4.768,4.476,4.693,45579.2,4.693
2023-09-08,4.703,4.758,4.5,4.581,37927.1,4.581
2023-09-09,4.581,4.592,4.539,4.573,15486.88,4.573
2023-09-10,4.578,4.62,4.46,4.553,26171.98,4.553
2023-09-11,4.55,4.576,4.22,4.323,88854.69,4.323
2023-09-12,4.316,4.799,4.296,4.547,109491.43,4.547
2023-09-13,4.545,4.747,4.521,4.674,70052.6,4.674
2023-09-14,4.673,4.907,4.648,4.784,91707.22,4.784
2023-09-15,4.784,4.94,4.665,4.824,53218.38,4.824
2023-09-16,4.827,4.884,4.766,4.808,23669.72,4.808
2023-09-17,4.795,4.825,4.73,4.79,20790.37,4.79
2023-09-18,4.794,5.11,4.737,4.887,69355.83,4.887
2023-09-19,4.885,5.149,4.846,5.055,57496.57,5.055
